90 90
0 0 9
0 1 9
0 2 9
0 3 9
0 4 9
0 5 9
0 6 9
0 7 9
0 8 9
0 9 9
0 10 9
0 11 9
0 12 9
0 13 9
0 14 9
0 15 9
0 16 9
0 17 9
0 18 9
0 19 9
0 20 9
0 21 9
0 22 9
0 23 3
0 24 3
0 25 3
0 26 3
0 27 3
0 28 3
0 29 3
0 30 3
0 31 3
0 32 3
0 33 3
0 34 3
0 35 3
0 36 3
0 37 3
0 38 3
0 39 3
0 40 3
0 41 3
0 42 3
0 43 3
0 44 3
0 45 3
0 46 3
0 47 3
0 48 3
0 49 3
0 50 3
0 51 3
0 52 3
0 53 3
0 54 7
0 55 7
0 56 7
0 57 7
0 58 7
0 59 7
0 60 7
0 61 7
0 62 7
0 63 7
0 64 7
0 65 7
0 66 7
0 67 7
0 68 7
0 69 7
0 70 7
0 71 7
0 72 7
0 73 7
0 74 7
0 75 7
0 76 7
0 77 7
0 78 7
0 79 2
0 80 2
0 81 2
0 82 2
0 83 2
0 84 2
0 85 2
0 86 9
0 87 9
0 88 9
0 89 9
1 0 9
1 1 9
1 2 9
1 3 9
1 4 9
1 5 9
1 6 9
1 7 9
1 8 9
1 9 9
1 10 9
1 11 9
1 12 9
1 13 9
1 14 9
1 15 9
1 16 9
1 17 9
1 18 9
1 19 9
1 20 9
1 21 9
1 22 5
1 23 3
1 24 3
1 25 3
1 26 3
1 27 3
1 28 3
1 29 3
1 30 3
1 31 3
1 32 3
1 33 3
1 34 3
1 35 3
1 36 3
1 37 3
1 38 3
1 39 3
1 40 3
1 41 3
1 42 3
1 43 3
1 44 3
1 45 3
1 46 3
1 47 3
1 48 3
1 49 3
1 50 3
1 51 3
1 52 3
1 53 7
1 54 7
1 55 7
1 56 7
1 57 7
1 58 7
1 59 7
1 60 7
1 61 7
1 62 7
1 63 7
1 64 7
1 65 7
1 66 7
1 67 7
1 68 7
1 69 7
1 70 7
1 71 7
1 72 7
1 73 7
1 74 7
1 75 7
1 76 7
1 77 7
1 78 7
1 79 2
1 80 2
1 81 2
1 82 2
1 83 2
1 84 2
1 85 2
1 86 2
1 87 9
1 88 9
1 89 9
2 0 9
2 1 9
2 2 9
2 3 9
2 4 9
2 5 9
2 6 9
2 7 9
2 8 9
2 9 9
2 10 9
2 11 9
2 12 9
2 13 9
2 14 9
2 15 9
2 16 9
2 17 9
2 18 9
2 19 9
2 20 9
2 21 5
2 22 5
2 23 5
2 24 3
2 25 3
2 26 3
2 27 3
2 28 3
2 29 3
2 30 3
2 31 3
2 32 3
2 33 3
2 34 3
2 35 3
2 36 3
2 37 3
2 38 3
2 39 3
2 40 3
2 41 3
2 42 3
2 43 3
2 44 3
2 45 3
2 46 3
2 47 3
2 48 3
2 49 3
2 50 3
2 51 3
2 52 7
2 53 7
2 54 7
2 55 7
2 56 7
2 57 7
2 58 7
2 59 7
2 60 7
2 61 7
2 62 7
2 63 7
2 64 7
2 65 7
2 66 7
2 67 7
2 68 7
2 69 7
2 70 7
2 71 7
2 72 7
2 73 7
2 74 7
2 75 7
2 76 7
2 77 7
2 78 7
2 79 7
2 80 2
2 81 2
2 82 2
2 83 2
2 84 2
2 85 2
2 86 2
2 87 2
2 88 9
2 89 9
3 0 9
3 1 9
3 2 9
3 3 9
3 4 9
3 5 9
3 6 9
3 7 9
3 8 9
3 9 9
3 10 9
3 11 9
3 12 9
3 13 9
3 14 9
3 15 9
3 16 9
3 17 9
3 18 9
3 19 9
3 20 5
3 21 5
3 22 5
3 23 5
3 24 5
3 25 3
3 26 3
3 27 3
3 28 3
3 29 3
3 30 3
3 31 3
3 32 3
3 33 3
3 34 3
3 35 3
3 36 3
3 37 3
3 38 3
3 39 3
3 40 3
3 41 3
3 42 3
3 43 3
3 44 3
3 45 3
3 46 3
3 47 3
3 48 3
3 49 3
3 50 3
3 51 3
3 52 7
3 53 7
3 54 7
3 55 7
3 56 7
3 57 7
3 58 7
3 59 7
3 60 7
3 61 7
3 62 7
3 63 7
3 64 7
3 65 7
3 66 7
3 67 7
3 68 7
3 69 7
3 70 7
3 71 7
3 72 7
3 73 7
3 74 7
3 75 7
3 76 7
3 77 7
3 78 7
3 79 7
3 80 2
3 81 2
3 82 2
3 83 2
3 84 2
3 85 2
3 86 2
3 87 2
3 88 2
3 89 9
4 0 9
4 1 9
4 2 9
4 3 9
4 4 9
4 5 9
4 6 9
4 7 9
4 8 9
4 9 9
4 10 9
4 11 9
4 12 9
4 13 9
4 14 9
4 15 9
4 16 9
4 17 9
4 18 9
4 19 5
4 20 5
4 21 5
4 22 5
4 23 5
4 24 5
4 25 5
4 26 3
4 27 3
4 28 3
4 29 3
4 30 3
4 31 3
4 32 3
4 33 3
4 34 3
4 35 3
4 36 3
4 37 3
4 38 3
4 39 3
4 40 3
4 41 3
4 42 3
4 43 3
4 44 3
4 45 3
4 46 3
4 47 3
4 48 3
4 49 3
4 50 3
4 51 3
4 52 7
4 53 7
4 54 7
4 55 7
4 56 7
4 57 7
4 58 7
4 59 7
4 60 7
4 61 7
4 62 7
4 63 7
4 64 7
4 65 7
4 66 7
4 67 7
4 68 7
4 69 7
4 70 7
4 71 7
4 72 7
4 73 7
4 74 7
4 75 7
4 76 7
4 77 7
4 78 7
4 79 7
4 80 2
4 81 2
4 82 2
4 83 2
4 84 2
4 85 2
4 86 2
4 87 2
4 88 2
4 89 2
5 0 2
5 1 9
5 2 9
5 3 9
5 4 9
5 5 9
5 6 9
5 7 9
5 8 9
5 9 9
5 10 9
5 11 9
5 12 9
5 13 9
5 14 9
5 15 9
5 16 9
5 17 9
5 18 5
5 19 5
5 20 5
5 21 5
5 22 5
5 23 5
5 24 5
5 25 5
5 26 5
5 27 3
5 28 3
5 29 3
5 30 3
5 31 3
5 32 3
5 33 3
