150 150
0 0 78
0 1 78
0 2 78
0 3 78
0 4 78
0 5 78
0 6 78
0 7 78
0 8 78
0 9 39
0 10 39
0 11 39
0 12 39
0 13 39
0 14 39
0 15 39
0 16 39
0 17 39
0 18 50
0 19 50
0 20 50
0 21 50
0 22 50
0 23 50
0 24 50
0 25 50
0 26 50
0 27 50
0 28 50
0 29 89
0 30 89
0 31 89
0 32 89
0 33 89
0 34 89
0 35 89
0 36 89
0 37 89
0 38 89
0 39 89
0 40 89
0 41 89
0 42 89
0 43 89
0 44 89
0 45 89
0 46 89
0 47 95
0 48 95
0 49 95
0 50 95
0 51 95
0 52 95
0 53 95
0 54 95
0 55 95
0 56 92
0 57 92
0 58 7
0 59 7
0 60 20
0 61 20
0 62 20
0 63 20
0 64 20
0 65 20
0 66 20
0 67 20
0 68 20
0 69 20
0 70 20
0 71 20
0 72 20
0 73 20
0 74 20
0 75 20
0 76 20
0 77 20
0 78 20
0 79 20
0 80 20
0 81 20
0 82 20
0 83 20
0 84 20
0 85 48
0 86 48
0 87 48
0 88 48
0 89 48
0 90 48
0 91 48
0 92 48
0 93 48
0 94 48
0 95 48
0 96 48
0 97 48
0 98 48
0 99 48
0 100 48
0 101 22
0 102 22
0 103 22
0 104 22
0 105 22
0 106 22
0 107 99
0 108 99
0 109 99
0 110 99
0 111 99
0 112 37
0 113 37
0 114 37
0 115 37
0 116 37
0 117 38
0 118 38
0 119 38
0 120 38
0 121 56
0 122 56
0 123 56
0 124 56
0 125 56
0 126 56
0 127 56
0 128 56
0 129 56
0 130 56
0 131 56
0 132 56
0 133 56
0 134 56
0 135 78
0 136 78
0 137 78
0 138 78
0 139 78
0 140 78
0 141 78
0 142 78
0 143 78
0 144 78
0 145 78
0 146 78
0 147 78
0 148 78
0 149 78
1 0 78
1 1 78
1 2 78
1 3 78
1 4 78
1 5 78
1 6 78
1 7 78
1 8 78
1 9 78
1 10 39
1 11 39
1 12 39
1 13 39
1 14 39
1 15 39
1 16 39
1 17 50
1 18 50
1 19 50
1 20 50
1 21 50
1 22 50
1 23 50
1 24 50
1 25 50
1 26 50
1 27 50
1 28 50
1 29 50
1 30 89
1 31 89
1 32 89
1 33 89
1 34 89
1 35 89
1 36 89
1 37 89
1 38 89
1 39 89
1 40 89
1 41 89
1 42 89
1 43 89
1 44 89
1 45 89
1 46 89
1 47 89
1 48 95
1 49 95
1 50 95
1 51 95
1 52 95
1 53 95
1 54 95
1 55 92
1 56 92
1 57 7
1 58 7
1 59 7
1 60 7
1 61 20
1 62 20
1 63 20
1 64 20
1 65 20
1 66 20
1 67 20
1 68 20
1 69 20
1 70 20
1 71 20
1 72 20
1 73 20
1 74 20
1 75 20
1 76 20
1 77 20
1 78 20
1 79 20
1 80 20
1 81 20
1 82 20
1 83 20
1 84 20
1 85 48
1 86 48
1 87 48
1 88 48
1 89 48
1 90 48
1 91 48
1 92 48
1 93 48
1 94 48
1 95 48
1 96 48
1 97 48
1 98 48
1 99 48
1 100 48
1 101 22
1 102 22
1 103 22
1 104 22
1 105 22
1 106 22
1 107 22
1 108 37
1 109 37
1 110 37
1 111 37
1 112 37
1 113 37
1 114 37
1 115 37
1 116 38
1 117 38
1 118 38
1 119 38
1 120 38
1 121 38
1 122 56
1 123 56
1 124 56
1 125 56
1 126 56
1 127 56
1 128 56
1 129 56
1 130 56
1 131 56
1 132 56
1 133 56
1 134 56
1 135 56
1 136 78
1 137 78
1 138 78
1 139 78
1 140 78
1 141 78
1 142 78
1 143 78
1 144 78
1 145 78
1 146 78
1 147 78
1 148 78
1 149 78
2 0 78
2 1 78
2 2 78
2 3 78
2 4 78
2 5 78
2 6 78
2 7 78
2 8 78
2 9 66
2 10 66
2 11 66
2 12 66
2 13 66
2 14 66
2 15 66
2 16 66
2 17 50
2 18 50
2 19 50
2 20 50
2 21 50
2 22 50
2 23 50
2 24 50
2 25 50
2 26 50
2 27 50
2 28 50
2 29 50
2 30 50
2 31 89
2 32 89
2 33 89
2 34 89
2 35 89
2 36 89
2 37 89
2 38 89
2 39 89
2 40 89
2 41 89
2 42 89
2 43 89
2 44 89
2 45 89
2 46 89
2 47 89
2 48 89
2 49 95
2 50 95
2 51 95
2 52 95
2 53 95
2 54 92
2 55 92
2 56 7
2 57 7
2 58 7
2 59 7
2 60 7
2 61 7
2 62 20
2 63 20
2 64 20
2 65 20
2 66 20
2 67 20
2 68 20
2 69 20
2 70 20
2 71 20
2 72 20
2 73 20
2 74 20
2 75 20
2 76 20
2 77 20
2 78 20
2 79 20
2 80 20
2 81 20
2 82 20
2 83 20
2 84 20
2 85 48
2 86 48
2 87 48
2 88 48
2 89 48
2 90 48
2 91 48
2 92 48
2 93 48
2 94 48
2 95 48
2 96 48
2 97 48
2 98 48
2 99 48
2 100 48
2 101 22
2 102 22
2 103 22
2 104 22
2 105 22
2 106 22
2 107 22
2 108 37
2 109 37
2 110 37
2 111 37
2 112 37
2 113 37
2 114 37
2 115 37
2 116 38
2 117 38
2 118 38
2 119 38
2 120 38
2 121 38
2 122 38
2 123 56
2 124 56
2 125 56
2 126 56
2 127 56
2 128 56
2 129 56
2 130 56
2 131 56
2 132 56
2 133 56
2 134 56
2 135 13
2 136 13
2 137 13
2 138 78
2 139 78
2 140 78
2 141 78
2 142 78
2 143 78
2 144 78
2 145 78
2 146 78
2 147 78
2 148 78
2 149 78
3 0 78
3 1 78
3 2 78
3 3 78
3 4 78
3 5 78
3 6 78
3 7 78
3 8 66
3 9 66
3 10 66
3 11 66
3 12 66
3 13 66
3 14 66
3 15 66
3 16 66
3 17 66
3 18 50
3 19 50
3 20 50
3 21 50
3 22 50
3 23 50
3 24 50
3 25 50
3 26 50
3 27 50
3 28 50
3 29 50
3 30 50
3 31 50
3 32 89
3 33 89
3 34 89
3 35 89
3 36 89
3 37 89
3 38 89
3 39 89
3 40 89
3 41 89
3 42 89
3 43 89
3 44 89
3 45 89
3 46 89
3 47 89
3 48 89
3 49 89
3 50 92
3 51 92
3 52 92
3 53 92
3 54 92
3 55 7
3 56 7
3 57 7
3 58 7
3 59 7
3 60 7
3 61 7
3 62 7
3 63 20
3 64 20
3 65 20
3 66 20
3 67 20
3 68 20
3 69 20
3 70 20
3 71 20
3 72 20
3 73 20
3 74 20
3 75 20
3 76 20
3 77 20
3 78 20
3 79 20
3 80 20
3 81 20
3 82 20
3 83 20
3 84 20
3 85 48
3 86 48
3 87 48
3 88 48
3 89 48
3 90 48
3 91 48
3 92 48
3 93 48
3 94 48
3 95 48
3 96 48
3 97 48
3 98 48
3 99 48
3 100 48
3 101 22
3 102 22
3 103 22
3 104 22
3 105 22
3 106 22
3 107 22
3 108 37
3 109 37
3 110 37
3 111 37
3 112 37
3 113 37
3 114 37
3 115 37
3 116 38
3 117 38
3 118 38
3 119 38
3 120 38
3 121 38
3 122 38
3 123 38
3 124 56
3 125 56
3 126 56
3 127 56
3 128 56
3 129 56
3 130 56
3 131 56
3 132 56
3 133 56
3 134 13
3 135 13
3 136 13
3 137 13
3 138 13
3 139 78
3 140 78
3 141 78
3 142 78
3 143 78
3 144 78
3 145 78
3 146 78
3 147 78
3 148 78
3 149 78
4 0 78
4 1 78
4 2 78
4 3 78
4 4 78
4 5 78
4 6 78
4 7 66
4 8 66
4 9 66
4 10 66
4 11 66
4 12 66
4 13 66
4 14 66
4 15 66
4 16 66
4 17 66
4 18 66
4 19 50
4 20 50
4 21 50
4 22 50
4 23 50
4 24 50
4 25 50
4 26 50
4 27 50
4 28 50
4 29 50
4 30 50
4 31 50
4 32 50
4 33 89
4 34 89
4 35 89
4 36 89
4 37 89
4 38 89
4 39 89
4 40 89
4 41 89
4 42 89
4 43 89
4 44 89
4 45 89
4 46 89
4 47 89
4 48 89
4 49 92
4 50 92
4 51 92
4 52 92
4 53 92
4 54 92
4 55 7
4 56 7
4 57 7
4 58 7
4 59 7
4 60 7
4 61 7
4 62 7
4 63 7
4 64 20
4 65 20
4 66 20
4 67 20
4 68 20
4 69 20
4 70 20
4 71 20
4 72 20
4 73 20
4 74 20
4 75 20
4 76 20
4 77 20
4 78 20
4 79 20
4 80 20
4 81 20
4 82 20
4 83 20
4 84 20
4 85 48
4 86 48
4 87 48
4 88 48
4 89 48
4 90 48
4 91 48
4 92 48
4 93 48
4 94 48
4 95 48
4 96 48
4 97 48
4 98 48
4 99 48
4 100 48
4 101 22
4 102 22
4 103 22
4 104 22
4 105 22
4 106 22
4 107 22
4 108 37
4 109 37
4 110 37
4 111 37
4 112 37
4 113 37
4 114 37
4 115 37
4 116 38
4 117 38
4 118 38
4 119 38
4 120 38
4 121 38
4 122 38
4 123 38
4 124 38
4 125 56
4 126 56
4 127 56
4 128 56
4 129 56
4 130 56
4 131 56
4 132 56
4 133 13
4 134 13
4 135 13
4 136 13
4 137 13
4 138 13
4 139 82
4 140 82
4 141 82
4 142 82
4 143 82
4 144 82
4 145 78
4 146 78
4 147 78
4 148 78
4 149 78
5 0 78
5 1 78
5 2 78
5 3 78
5 4 78
5 5 78
5 6 66
5 7 66
5 8 66
5 9 66
5 10 66
5 11 66
5 12 66
5 13 66
5 14 66
5 15 66
5 16 66
5 17 66
5 18 66
5 19 66
5 20 50
5 21 50
5 22 50
5 23 50
5 24 50
5 25 50
5 26 50
5 27 50
5 28 50
5 29 50
5 30 50
5 31 50
5 32 50
5 33 50
5 34 89
5 35 89
5 36 89
5 37 89
5 38 89
5 39 89
5 40 89
5 41 89
5 42 89
5 43 89
5 44 89
5 45 89
5 46 89
5 47 89
5 48 92
5 49 92
5 50 92
5 51 92
5 52 92
5 53 92
5 54 92
5 55 7
5 56 7
5 57 7
5 58 7
5 59 7
5 60 7
5 61 7
5 62 7
5 63 7
5 64 7
5 65 20
5 66 20
5 67 20
5 68 20
5 69 20
5 70 20
